"Protein","Prediction"
"1929_Hemolytik_Free_Free_0%","non-hemolytic"
"1930_Hemolytik_Free_Free_0%","non-hemolytic"
"1931_Hemolytik_Free_Free_0%","non-hemolytic"
"1932_Hemolytik_Free_Free_0%","non-hemolytic"
"1933_Hemolytik_Free_Free_0%","non-hemolytic"
"1934_Hemolytik_Free_Free_0%","non-hemolytic"
"1935_Hemolytik_Free_Free_0%","non-hemolytic"
"1936_Hemolytik_Free_Free_0%","non-hemolytic"
"1937_Hemolytik_Free_Free_0%","non-hemolytic"
"1938_Hemolytik_Free_Free_0%","non-hemolytic"
"2000_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2001_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2002_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2003_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2023_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2024_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2025_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2026_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2055_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2057_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2058_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2059_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"2060_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2062_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2063_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2064_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2065_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2066_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"2067_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"2068_Hemolytik_Free_Free_0%","non-hemolytic"
"2073_Hemolytik_Free_Free_Very","non-hemolytic"
"2083_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2094_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"2110_Hemolytik_Free_Free_0%","hemolytic"
"2131_Hemolytik_Free_Free_0%","non-hemolytic"
"2132_Hemolytik_Free_Free_0%","non-hemolytic"
"2155_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2162_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2169_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2170_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2172_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2173_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2195_Hemolytik_Free_Free_~0%","hemolytic"
"2197_Hemolytik_Free_Free_~0%","hemolytic"
"2210_Hemolytik_Free_Free_0%","non-hemolytic"
"2211_Hemolytik_Free_Free_0%","non-hemolytic"
"2213_Hemolytik_Free_Free_0%","non-hemolytic"
"2214_Hemolytik_Free_Free_0%","non-hemolytic"
"2215_Hemolytik_Free_Free_0%","non-hemolytic"
"2216_Hemolytik_Free_Free_0%","non-hemolytic"
"2217_Hemolytik_Free_Free_0%","non-hemolytic"
"2218_Hemolytik_Free_Free_0%","non-hemolytic"
"2219_Hemolytik_Free_Free_0%","non-hemolytic"
"2283_Hemolytik_Free_Free_0%","non-hemolytic"
"2315_Hemolytik_Free_Free_0%","non-hemolytic"
"2316_Hemolytik_Free_Free_0%","non-hemolytic"
"2317_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2318_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2319_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2320_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2321_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2322_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2380_Hemolytik_Free_Free_0%","non-hemolytic"
"2381_Hemolytik_Free_Free_0%","non-hemolytic"
"2382_Hemolytik_Free_Free_0%","non-hemolytic"
"2383_Hemolytik_Free_Free_0%","non-hemolytic"
"2384_Hemolytik_Free_Free_0%","hemolytic"
"2385_Hemolytik_Free_Free_0%","non-hemolytic"
"2386_Hemolytik_Free_Free_0%","non-hemolytic"
"2387_Hemolytik_Amidation_Acetylation_0%","non-hemolytic"
"2388_Hemolytik_Amidation_Acetylation_0%","hemolytic"
"2389_Hemolytik_Free_Free_0%","non-hemolytic"
"2394_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2396_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2400_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2471_Hemolytik_Free_Free_0%","non-hemolytic"
"2485_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"2501_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2515_Hemolytik_Free_Free_0%","non-hemolytic"
"2516_Hemolytik_Free_Free_0%","non-hemolytic"
"2517_Hemolytik_Free_Free_0%","non-hemolytic"
"2518_Hemolytik_Free_Free_0%","non-hemolytic"
"2546_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2547_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2607_Hemolytik_Free_Free_0%","hemolytic"
"2611_Hemolytik_Free_Free_0%","non-hemolytic"
"2620_Hemolytik_Free_Free_Non-hemolytic","hemolytic"
"2633_Hemolytik_Free_Free_0%","hemolytic"
"2709_Hemolytik_Free_Free_Non-hemolytic","hemolytic"
"2764_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2765_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2766_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2787_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2788_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2789_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2790_Hemolytik_Amidation_Free_0%","non-hemolytic"
"2964_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2965_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"2989_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"2999_Hemolytik_Free_Free_0%","non-hemolytic"
"3000_Hemolytik_Free_Free_0%","non-hemolytic"
"3001_Hemolytik_Free_Free_0%","non-hemolytic"
"3020_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3021_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3022_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3023_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3024_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3025_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3067_Hemolytik_Free_Free_No","non-hemolytic"
"3068_Hemolytik_Amidation_Free_No","non-hemolytic"
"3074_Hemolytik_Free_Free_Low","non-hemolytic"
"3094_Hemolytik_Amidation_Free_Negligible","non-hemolytic"
"3096_Hemolytik_Amidation_Free_Negligible","non-hemolytic"
"3100_Hemolytik_Amidation_Free_Negligible","non-hemolytic"
"3116_Hemolytik_Free_Free_No","hemolytic"
"3167_Hemolytik_Amidation_Free_Non-hemolytic","non-hemolytic"
"3237_Hemolytik_Free_Free_No","non-hemolytic"
"3246_Hemolytik_Amidation_Free_No","non-hemolytic"
"3247_Hemolytik_Free_Free_No","non-hemolytic"
"3248_Hemolytik_Free_Free_No","non-hemolytic"
"3249_Hemolytik_Free_Free_No","non-hemolytic"
"3250_Hemolytik_Free_Free_No","non-hemolytic"
"3251_Hemolytik_Free_Free_No","non-hemolytic"
"3257_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3274_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3275_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3278_Hemolytik_Free_Free_Non-hemolytic","non-hemolytic"
"3292_Hemolytik_Free_Free_0%","non-hemolytic"
"3293_Hemolytik_Free_Free_0%","non-hemolytic"
"3310_Hemolytik_Free_Free_0%","non-hemolytic"
"3350_Hemolytik_Free_Formylation_0%","non-hemolytic"
"3351_Hemolytik_Free_Formylation_0%","non-hemolytic"
"3352_Hemolytik_Free_Formylation_0%","non-hemolytic"
"3353_Hemolytik_Free_Formylation_0%","non-hemolytic"
"3354_Hemolytik_Free_Formylation_0%","non-hemolytic"
"3358_Hemolytik_Free_Formylation_0%","hemolytic"
"3359_Hemolytik_Free_Formylation_0%","hemolytic"
"3381_Hemolytik_Amidation_Free_Non-hemolytic","hemolytic"
"3383_Hemolytik_Amidation_Free_Non-hemolytic","hemolytic"
"3434_Hemolytik_Free_Free_0%","non-hemolytic"
"3451_Hemolytik_Free_Free_0%","non-hemolytic"
"3468_Hemolytik_Free_Free_~5%","non-hemolytic"
"3474_Hemolytik_Amidation_Free_Low","hemolytic"
"3475_Hemolytik_Amidation_Free_No","hemolytic"
"3495_Hemolytik_Free_Free_Weak","non-hemolytic"
"3532_Hemolytik_Free_Free_0%","non-hemolytic"
"3533_Hemolytik_Free_Free_0%","non-hemolytic"
"3541_Hemolytik_Free_Free_0%","non-hemolytic"
"3542_Hemolytik_Free_Free_0%","non-hemolytic"
"3567_Hemolytik_Amidation_Free_No","non-hemolytic"
"3568_Hemolytik_Free_Free_No","non-hemolytic"
"3576_Hemolytik_Amidation_Free_No","hemolytic"
"3577_Hemolytik_Free_Free_No","non-hemolytic"
"3578_Hemolytik_Free_Free_No","non-hemolytic"
"3579_Hemolytik_Free_Free_No","non-hemolytic"
"3580_Hemolytik_Free_Free_No","hemolytic"
"3612_Hemolytik_Free_Free_No","non-hemolytic"
"3620_Hemolytik_Free_Free_0%","hemolytic"
"3632_Hemolytik_Free_Free_No","hemolytic"
"3633_Hemolytik_Free_Free_No","hemolytic"
"3638_Hemolytik_Free_Free_Little","hemolytic"
"3639_Hemolytik_Free_Free_Little","hemolytic"
"3640_Hemolytik_Free_Free_Little","hemolytic"
"3641_Hemolytik_Free_Free_Little","hemolytic"
"3642_Hemolytik_Free_Free_Little","hemolytic"
"3678_Hemolytik_[NH(CH2)2NH2]2_Free_No","non-hemolytic"
"3679_Hemolytik_Free_Free_No","non-hemolytic"
"3680_Hemolytik_[NH(CH2)2NH2]2_Free_No","non-hemolytic"
"3681_Hemolytik_Free_Free_No","non-hemolytic"
"3682_Hemolytik_[NH(CH2)2NH2]2_Free_No","non-hemolytic"
"3706_Hemolytik_Free_Free_Little","non-hemolytic"
"3767_Hemolytik_Amidation_Free_0%","hemolytic"
"3780_Hemolytik_Free_Free_0%","non-hemolytic"
"3781_Hemolytik_Free_Free_0%","non-hemolytic"
"3790_Hemolytik_Amidation_Free_No","non-hemolytic"
"3796_Hemolytik_Amidation_Free_No","non-hemolytic"
"1022_Hemolytik_Free_Conjugated","non-hemolytic"
"1023_Hemolytik_Free_Conjugated","non-hemolytic"
"1024_Hemolytik_Amidation_Conjugated","hemolytic"
"1039_Hemolytik_Amidation_Free_0%","hemolytic"
"1040_Hemolytik_Amidation_Free_0%","hemolytic"
"1041_Hemolytik_Amidation_Free_0%","hemolytic"
"1046_Hemolytik_Amidation_Free_60.8%","hemolytic"
"1048_Hemolytik_Amidation_Free_50.40%","hemolytic"
"1067_Hemolytik_Free_Free_0.01%","non-hemolytic"
"1068_Hemolytik_Free_Free_0.01%","non-hemolytic"
"1072_Hemolytik_Free_Free_1.92%","non-hemolytic"
"1073_Hemolytik_Free_Free_3.40%","non-hemolytic"
"1074_Hemolytik_Free_Free_2.36%","non-hemolytic"
"1091_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"1092_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"1093_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"1094_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"1095_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"1096_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"1097_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"1098_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"1099_Hemolytik_Amidation_Free_>10%","non-hemolytic"
"1120_Hemolytik_Amidation_Free_>20%","hemolytic"
"1121_Hemolytik_Amidation_Free_~20%","hemolytic"
"1122_Hemolytik_Amidation_Free_~9%","hemolytic"
"1123_Hemolytik_Amidation_Free_~8%","hemolytic"
"1124_Hemolytik_Free_Free_~30%","hemolytic"
"1134_Hemolytik_Free_Free_<5%","non-hemolytic"
"1135_Hemolytik_Free_Free_<5%","non-hemolytic"
"1136_Hemolytik_Free_Free_<5%","non-hemolytic"
"1156_Hemolytik_Free_Free_<1%","non-hemolytic"
"1157_Hemolytik_Free_Free_1.5-2.3%","non-hemolytic"
"1158_Hemolytik_Free_Free_<1%","non-hemolytic"
"1159_Hemolytik_Free_Free_1.5-2.3%","non-hemolytic"
"1160_Hemolytik_Free_Free_<1%","non-hemolytic"
"1161_Hemolytik_Free_Free_<1%","non-hemolytic"
"1167_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1168_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1170_Hemolytik_Free_Free_12-25%","hemolytic"
"1173_Hemolytik_Free_Free_3-6%","non-hemolytic"
"1174_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1176_Hemolytik_Free_Free_3-6%","non-hemolytic"
"1177_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1178_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1179_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1180_Hemolytik_Free_Free_3-6%","non-hemolytic"
"1181_Hemolytik_Free_Free_3-6%","hemolytic"
"1182_Hemolytik_Free_Free_3-6%","non-hemolytic"
"1183_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1184_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1185_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1186_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1187_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1188_Hemolytik_Free_Free_6-12%","non-hemolytic"
"1189_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1190_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1191_Hemolytik_Free_Free_3-6%","non-hemolytic"
"1192_Hemolytik_Free_Free_12-25%","non-hemolytic"
"1193_Hemolytik_Free_Free_3-6%","non-hemolytic"
"1194_Hemolytik_Free_Free_12-25%","non-hemolytic"
"1195_Hemolytik_Free_Free_25-50%","hemolytic"
"1196_Hemolytik_Free_Free_12-25%","hemolytic"
"1197_Hemolytik_Free_Free_25-50%","hemolytic"
"1202_Hemolytik_Free_Free_3-6%","non-hemolytic"
"1204_Hemolytik_Free_Free_12-25%","hemolytic"
"1205_Hemolytik_Free_Free_25-50%","hemolytic"
"1210_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1211_Hemolytik_Free_Free_12-25%","non-hemolytic"
"1212_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1213_Hemolytik_Free_Free_12-25%","hemolytic"
"1214_Hemolytik_Free_Free_6-12%","non-hemolytic"
"1215_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1216_Hemolytik_Free_Free_6-12%","non-hemolytic"
"1218_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1219_Hemolytik_Free_Free_0-3%","non-hemolytic"
"1220_Hemolytik_Free_Free_25-50%","hemolytic"
"1221_Hemolytik_Free_Free_0%","non-hemolytic"
"1222_Hemolytik_Free_Free_>2-3%","non-hemolytic"
"1223_Hemolytik_Free_Free_>2-3%","non-hemolytic"
"1224_Hemolytik_Free_Free_0%","non-hemolytic"
"1225_Hemolytik_Free_Free_>2-3%","hemolytic"
"1243_Hemolytik_Amidation_Free_77%","non-hemolytic"
"1244_Hemolytik_Amidation_Free_29%","non-hemolytic"
"1245_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1252_Hemolytik_Amidation_Free_45%","hemolytic"
"1253_Hemolytik_Amidation_Free_9%","hemolytic"
"1254_Hemolytik_Amidation_Free_0%","hemolytic"
"1255_Hemolytik_Amidation_Free_25%","hemolytic"
"1256_Hemolytik_Amidation_Free_4%","hemolytic"
"1257_Hemolytik_Amidation_Free_0%","hemolytic"
"1258_Hemolytik_Amidation_Acetylation_45%","hemolytic"
"1259_Hemolytik_Amidation_Acetylation_21%","hemolytic"
"1261_Hemolytik_Amidation_Acetylation_4%","non-hemolytic"
"1262_Hemolytik_Amidation_Acetylation_9%","non-hemolytic"
"1263_Hemolytik_Amidation_Acetylation_3%","non-hemolytic"
"1264_Hemolytik_Amidation_Acetylation_8%","non-hemolytic"
"1273_Hemolytik_Free_Free_~2%","hemolytic"
"1280_Hemolytik_Amidation_Free_>40%","non-hemolytic"
"1281_Hemolytik_Amidation_Free_~80%","hemolytic"
"1282_Hemolytik_Amidation_Free_<10%","hemolytic"
"1296_Hemolytik_Free_Free_0.02","hemolytic"
"1297_Hemolytik_Free_Free_0.05","hemolytic"
"1298_Hemolytik_Free_Free_0.07","hemolytic"
"1299_Hemolytik_Free_Free_0.02","hemolytic"
"1300_Hemolytik_Free_Free_0.09","hemolytic"
"1301_Hemolytik_Free_Free_0.27","hemolytic"
"1302_Hemolytik_Free_Free_0.01","hemolytic"
"1303_Hemolytik_Free_Free_0.0","hemolytic"
"1304_Hemolytik_Free_Free_0.05","hemolytic"
"1305_Hemolytik_Free_Free_0.01","hemolytic"
"1306_Hemolytik_Free_Free_0.19","hemolytic"
"1307_Hemolytik_Free_Free_0.4","hemolytic"
"1308_Hemolytik_Free_Free_0.01","hemolytic"
"1309_Hemolytik_Free_Free_0.02","hemolytic"
"1310_Hemolytik_Free_Free_0.19","hemolytic"
"1311_Hemolytik_Free_Free_0.01","hemolytic"
"1312_Hemolytik_Free_Free_0.15","hemolytic"
"1314_Hemolytik_Free_Free_0.01","hemolytic"
"1315_Hemolytik_Free_Free_0.02","hemolytic"
"1316_Hemolytik_Free_Free_0.08","hemolytic"
"1318_Hemolytik_Free_Free_0.2","hemolytic"
"1320_Hemolytik_Free_Free_0.0","hemolytic"
"1321_Hemolytik_Free_Free_0.03","hemolytic"
"1322_Hemolytik_Free_Free_0.08","hemolytic"
"1323_Hemolytik_Free_Free_0.01","hemolytic"
"1324_Hemolytik_Free_Free_0.1","hemolytic"
"1325_Hemolytik_Free_Free_0.14","hemolytic"
"1326_Hemolytik_Free_Free_0.02","hemolytic"
"1327_Hemolytik_Free_Free_0.05","hemolytic"
"1328_Hemolytik_Free_Free_0.06","hemolytic"
"1329_Hemolytik_Free_Free_0.05","hemolytic"
"1330_Hemolytik_Free_Free_0.12","hemolytic"
"1331_Hemolytik_Free_Free_0.18","hemolytic"
"1332_Hemolytik_Free_Free_0.0","hemolytic"
"1334_Hemolytik_Free_Free_0.05","hemolytic"
"1335_Hemolytik_Free_Free_0.01","hemolytic"
"1336_Hemolytik_Free_Free_0.18","hemolytic"
"1337_Hemolytik_Free_Free_0.3","hemolytic"
"1338_Hemolytik_Free_Free_0.02","hemolytic"
"1339_Hemolytik_Free_Free_0.02","hemolytic"
"1340_Hemolytik_Free_Free_0.07","hemolytic"
"1341_Hemolytik_Free_Free_0.02","hemolytic"
"1342_Hemolytik_Free_Free_0.15","hemolytic"
"1343_Hemolytik_Free_Free_0.45","hemolytic"
"1344_Hemolytik_Free_Free_0.0","hemolytic"
"1345_Hemolytik_Free_Free_0.0","hemolytic"
"1346_Hemolytik_Free_Free_0.05","hemolytic"
"1347_Hemolytik_Free_Free_0.01","hemolytic"
"1348_Hemolytik_Free_Free_0.07","hemolytic"
"1349_Hemolytik_Free_Free_0.14","hemolytic"
"1350_Hemolytik_Free_Free_0.02","hemolytic"
"1351_Hemolytik_Free_Free_0.03","hemolytic"
"1352_Hemolytik_Free_Free_0.1","hemolytic"
"1353_Hemolytik_Free_Free_0.02","hemolytic"
"1354_Hemolytik_Free_Free_0.1","hemolytic"
"1355_Hemolytik_Free_Free_0.26","hemolytic"
"1367_Hemolytik_Free_Free_40%","hemolytic"
"1369_Hemolytik_Amidation_Free_0%","non-hemolytic"
"1370_Hemolytik_Amidation_Free_4.84%","non-hemolytic"
"1371_Hemolytik_Amidation_Free_4.90%","non-hemolytic"
"1372_Hemolytik_Amidation_Free_4.73%","non-hemolytic"
"1373_Hemolytik_Amidation_Free_5.07%","non-hemolytic"
"1374_Hemolytik_Amidation_Free_5.13%hemolysis","non-hemolytic"
"1375_Hemolytik_Amidation_Free_5.07%","non-hemolytic"
"1376_Hemolytik_Amidation_Free_4.90%","non-hemolytic"
"1377_Hemolytik_Amidation_Free_5.13%","non-hemolytic"
"1378_Hemolytik_Amidation_Free_4.90%","non-hemolytic"
"1379_Hemolytik_Amidation_Free_5.19%","non-hemolytic"
"1380_Hemolytik_Amidation_Free_5.01%","non-hemolytic"
"1381_Hemolytik_Amidation_Free_4.90%","non-hemolytic"
"1382_Hemolytik_Amidation_Free_5.19%","non-hemolytic"
"1383_Hemolytik_Amidation_Free_4.96%","non-hemolytic"
"1384_Hemolytik_Amidation_Free_4.73%","non-hemolytic"
"1385_Hemolytik_Amidation_Free_4.84%","non-hemolytic"
"1386_Hemolytik_Amidation_Free_4.96%","non-hemolytic"
"1387_Hemolytik_Amidation_Free_4.78%","non-hemolytic"
"1388_Hemolytik_Amidation_Free_4.61%","hemolytic"
"1389_Hemolytik_Amidation_Free_6.05%","hemolytic"
"1390_Hemolytik_Amidation_Free_4.73%","hemolytic"
"1391_Hemolytik_Amidation_Free_4.44%","hemolytic"
"1392_Hemolytik_Amidation_Free_4.78%","hemolytic"
"1393_Hemolytik_Amidation_Free_4.61%","hemolytic"
"1394_Hemolytik_Amidation_Free_5.01%","hemolytic"
"1395_Hemolytik_Amidation_Free_4.84%","hemolytic"
"1396_Hemolytik_Amidation_Free_4.84%","hemolytic"
"1397_Hemolytik_Amidation_Free_5.01%","hemolytic"
"1398_Hemolytik_Amidation_Free_4.44%","hemolytic"
"1399_Hemolytik_Amidation_Free_4.78%","hemolytic"
"1400_Hemolytik_Amidation_Free_5.42%","hemolytic"
"1401_Hemolytik_Amidation_Free_5.99%","hemolytic"
"1402_Hemolytik_Amidation_Free_5.13%","hemolytic"
"1403_Hemolytik_Amidation_Free_5.13%","hemolytic"
"1404_Hemolytik_Amidation_Free_4.73%","hemolytic"
"1405_Hemolytik_Amidation_Free_5.47%","hemolytic"
"1406_Hemolytik_Amidation_Free_7.09%","hemolytic"
"1407_Hemolytik_Amidation_Free_5.36%","hemolytic"
"1408_Hemolytik_Amidation_Free_4.73%","hemolytic"
"1409_Hemolytik_Amidation_Free_4.84%","hemolytic"
"1410_Hemolytik_Amidation_Free_5.19%","hemolytic"
"1411_Hemolytik_Amidation_Free_4.84%","hemolytic"
"1412_Hemolytik_Amidation_Free_7.26%","hemolytic"
"1413_Hemolytik_Amidation_Free_5.76%","hemolytic"
"1414_Hemolytik_Amidation_Free_4.72%","hemolytic"
"1415_Hemolytik_Amidation_Free_5.07%","hemolytic"
"1416_Hemolytik_Amidation_Free_4.78%","hemolytic"
"1417_Hemolytik_Amidation_Free_5.30%","hemolytic"
"1419_Hemolytik_Amidation_Free_14.92%","hemolytic"
"1420_Hemolytik_Amidation_Free_7.38%","hemolytic"
"1421_Hemolytik_Amidation_Free_5.01%","hemolytic"
"1422_Hemolytik_Amidation_Free_4.96%","hemolytic"
"1423_Hemolytik_Amidation_Free_4.73%","hemolytic"
"1425_Hemolytik_Amidation_Free_34.29%","hemolytic"
"1426_Hemolytik_Amidation_Free_17.58%","hemolytic"
"1427_Hemolytik_Amidation_Free_14.99%","hemolytic"
"1428_Hemolytik_Amidation_Free_6.51%","hemolytic"
"1429_Hemolytik_Amidation_Free_5.13%","hemolytic"
"1430_Hemolytik_Amidation_Free_47.72%","hemolytic"
"1431_Hemolytik_Amidation_Free_20.86%","hemolytic"
"1432_Hemolytik_Amidation_Free_12.80%","hemolytic"
"1433_Hemolytik_Amidation_Free_10.78%","hemolytic"
"1434_Hemolytik_Amidation_Free_5.31%","hemolytic"
