Protein,Prediction
3318_Hemolytik_Free_Formylation_100%,1
3319_Hemolytik_Free_Formylation_87%,1
3320_Hemolytik_Free_Formylation_100%,1
3322_Hemolytik_Free_Formylation_80%,1
3324_Hemolytik_Free_Formylation_55%,1
3328_Hemolytik_Free_Formylation_55%,1
3332_Hemolytik_Free_Free_60%,1
3333_Hemolytik_Free_Free_50%,1
3334_Hemolytik_Free_Free_58%,1
3345_Hemolytik_Free_Free_51%,0
3365_Hemolytik_Free_Fmoc_59%,1
3367_Hemolytik_Free_Fmoc_91%,1
3371_Hemolytik_Free_Free_66%,1
3378_Hemolytik_Amidation_Fmoc_100%,1
3379_Hemolytik_Amidation_Free_~90%,1
3380_Hemolytik_Amidation_Fmoc_~60%,1
3382_Hemolytik_Amidation_Fmoc_~80%,1
3396_Hemolytik_Free_Free_50%,1
3397_Hemolytik_Free_Free_50%,0
3398_Hemolytik_Free_Free_50%,0
3399_Hemolytik_Free_Free_50%,0
3410_Hemolytik_Free_Free_~90%,1
3412_Hemolytik_Free_Free_~90%,1
3422_Hemolytik_Amidation_Free_100%,1
3423_Hemolytik_Amidation_Free_80%,1
3424_Hemolytik_Amidation_Free_100%,1
3428_Hemolytik_Amidation_Free_90-100%,1
3429_Hemolytik_Amidation_Free_90-100%,1
3430_Hemolytik_Amidation_Free_90-100%,1
3431_Hemolytik_Amidation_Free_90-100%,1
3454_Hemolytik_Free_Free_100%,1
3455_Hemolytik_Free_Free_100%,1
3456_Hemolytik_Amidation_Free_100%,1
3473_Hemolytik_Free_Free_100%,1
3497_Hemolytik_Amidation_Free_>95%,0
3501_Hemolytik_Amidation_Free_>95%,0
3503_Hemolytik_Amidation_Free_~80%,1
3511_Hemolytik_Amidation_Free_>80%,1
3513_Hemolytik_Amidation_Free_~70%,1
3515_Hemolytik_Amidation_Free_~80%,1
3526_Hemolytik_Amidation_Free_98%,1
3528_Hemolytik_Free_Free_100%,1
3534_Hemolytik_Amidation_Free_~70%,1
3535_Hemolytik_Amidation_Free_75%,1
3554_Hemolytik_Free_Free_90.5±0.8%,1
3555_Hemolytik_Free_Free_51.4±0.5%,1
3599_Hemolytik_Free_Free_100%,1
3601_Hemolytik_Free_Free_>50%,1
3602_Hemolytik_Free_Free_80%,1
3603_Hemolytik_Free_Free_~90%,1
3604_Hemolytik_Free_Free_100%,1
3605_Hemolytik_Free_Free_50%,1
3614_Hemolytik_Amidation_Free_59.2%,1
3615_Hemolytik_Amidation_Free_>90%,1
3616_Hemolytik_Free_Free_74%,1
3617_Hemolytik_Free_Free_>90%,1
3618_Hemolytik_Free_Free_>95%,1
3650_Hemolytik_Free_Free_60±7.1%,1
3651_Hemolytik_Free_Free_65.5±7.7%,1
3652_Hemolytik_Free_Free_87.2±2.6%,1
3653_Hemolytik_Free_Free_100%,1
3657_Hemolytik_Amidation_Free_~100%,1
3659_Hemolytik_Amidation_Free_100%,0
3675_Hemolytik_[NH(CH2)2NH2]2_Free_>100%,1
3690_Hemolytik_Free_Free_100%,1
3691_Hemolytik_Free_Free_100%,1
3692_Hemolytik_Free_Free_100%,1
3693_Hemolytik_Free_Free_100%,1
3694_Hemolytik_Free_Free_100%,1
3752_Hemolytik_Free_Free_50%,1
3785_Hemolytik_Free_Free_50%,1
3786_Hemolytik_Free_Free_85%,1
3787_Hemolytik_Free_Free_90%,1
3788_Hemolytik_Free_Free_100%,1
3789_Hemolytik_Free_Free_100%,1
3791_Hemolytik_Amidation_Free_100%,1
3792_Hemolytik_Amidation_Free_100%,1
3836_Hemolytik_Free_Free_100%,1
3837_Hemolytik_Free_Free_100%,1
3838_Hemolytik_Free_Free_100%,1
3839_Hemolytik_Free_Free_100%,1
3840_Hemolytik_Free_Free_100%,1
3842_Hemolytik_Free_Free_100%,1
3843_Hemolytik_Amidation_Free_100%,0
3844_Hemolytik_Amidation_Free_100%,0
4025_Hemolytik_Free_Free_85.52±3.26%,1
4028_Hemolytik_Free_Free_95.7±4.12%,1
4038_Hemolytik_Free_Free_57.1%,0
4048_Hemolytik_Free_Free_66.3%,0
4064_Hemolytik_Free_Free_50%,1
4065_Hemolytik_Free_Free_85%,1
4066_Hemolytik_Free_Free_100%,1
4069_Hemolytik_Free_Free_50%,1
4070_Hemolytik_Free_Free_60%,1
4149_Hemolytik_Amidation_Free_100%,1
1085_Hemolytik_Amidation_Acetylation_MHC,1
1086_Hemolytik_Amidation_Acetylation_MHC,1
1087_Hemolytik_Amidation_Acetylation_MHC,1
1088_Hemolytik_Amidation_Acetylation_MHC,1
1089_Hemolytik_Amidation_Acetylation_MHC,1
1090_Hemolytik_Amidation_Acetylation_MHC,1
1143_Hemolytik_Amidation_Acetylation_MHC,1
1144_Hemolytik_Amidation_Acetylation_MHC,1
1495_Hemolytik_Amidation_Free_MHC,1
1553_Hemolytik_Amidation_Free_MHC,1
1554_Hemolytik_Amidation_Free_MHC,1
1555_Hemolytik_Amidation_Free_MHC,1
1556_Hemolytik_Amidation_Free_MHC,1
1557_Hemolytik_Amidation_Free_MHC,1
1558_Hemolytik_Amidation_Free_MHC,1
2592_Hemolytik_Amidation_Free_MHC,1
2593_Hemolytik_Amidation_Free_MHC,1
2594_Hemolytik_Amidation_Free_MHC,1
2596_Hemolytik_Amidation_Free_MHC,1
2597_Hemolytik_Amidation_Free_MHC,1
2600_Hemolytik_Amidation_Free_MHC,1
2601_Hemolytik_Amidation_Free_MHC,1
2634_Hemolytik_Amidation_Acetylation_MHC,1
2664_Hemolytik_Amidation_Free_MHC,1
2665_Hemolytik_Amidation_Free_MHC,1
2945_Hemolytik_Free_Free_MHC,1
2946_Hemolytik_Free_Free_MHC,1
2947_Hemolytik_Free_Free_MHC,1
2948_Hemolytik_Free_Free_MHC,1
2949_Hemolytik_Free_Free_MHC,1
2951_Hemolytik_Free_Free_MHC,1
2954_Hemolytik_Free_Free_MHC,0
2955_Hemolytik_Free_Free_MHC,1
2956_Hemolytik_Free_Free_MHC,1
2957_Hemolytik_Free_Free_MHC,1
3590_Hemolytik_Free_Free_MHC,1
3593_Hemolytik_Free_Free_MHC=64μg/ml,1
3595_Hemolytik_Free_Free_MHC,1
3938_Hemolytik_Free_Free_MHC,1
3939_Hemolytik_Free_Free_MHC,1
3947_Hemolytik_Amidation_Free_MHC,1
3953_Hemolytik_Free_Free_MHC,1
3959_Hemolytik_Amidation_Free_MHC,1
3960_Hemolytik_Amidation_Free_MHC,1
3965_Hemolytik_Amidation_Free_MHC,1
3966_Hemolytik_Amidation_Free_MHC,1
3969_Hemolytik_Amidation_Free_MHC,1
3973_Hemolytik_Amidation_Acetylation_MHC,1
3974_Hemolytik_Amidation_Acetylation_MHC,1
3980_Hemolytik_Amidation_Free_MHC,0
8197_DBASSP_#_#_hem,1
11_DBASSP_#_#_hem,1
14_DBASSP_AMD_#_hem,1
8209_DBASSP_#_#_hem,1
8266_DBASSP_#_#_hem,1
8268_DBASSP_#_#_hem,1
8269_DBASSP_#_#_hem,1
8270_DBASSP_#_#_hem,1
8271_DBASSP_#_#_hem,1
8282_DBASSP_#_#_hem,0
107_DBASSP_AMD_#_hem,1
108_DBASSP_AMD_#_hem,0
109_DBASSP_AMD_#_hem,1
110_DBASSP_AMD_#_hem,0
111_DBASSP_AMD_#_hem,1
112_DBASSP_AMD_#_hem,1
113_DBASSP_AMD_#_hem,1
115_DBASSP_AMD_#_hem,1
116_DBASSP_AMD_#_hem,1
117_DBASSP_AMD_#_hem,1
120_DBASSP_AMD_#_hem,1
121_DBASSP_AMD_#_hem,1
123_DBASSP_AMD_#_hem,1
125_DBASSP_AMD_#_hem,1
126_DBASSP_AMD_#_hem,1
9006_DBASSP_AMD_#_hem,1
160_DBASSP_#_#_hem,1
167_DBASSP_#_#_hem,1
8373_DBASSP_#_#_hem,1
8388_DBASSP_#_#_hem,1
197_DBASSP_AMD_#_hem,1
8392_DBASSP_#_#_hem,1
8437_DBASSP_AMD_#_hem,1
8438_DBASSP_AMD_#_hem,1
8439_DBASSP_#_#_hem,1
256_DBASSP_AMD_#_hem,1
270_DBASSP_AMD_ACT_hem,1
271_DBASSP_AMD_ACT_hem,1
352_DBASSP_AMD_ACT_hem,1
353_DBASSP_AMD_ACT_hem,1
1427_DBASSP_AMD_#_hem,1
1429_DBASSP_AMD_#_hem,1
8592_DBASSP_AMD_#_hem,1
8593_DBASSP_AMD_#_hem,1
8594_DBASSP_AMD_#_hem,1
8595_DBASSP_AMD_#_hem,0
8610_DBASSP_#_#_hem,0
447_DBASSP_AMD_#_hem,1
79_DBASSP_AMD_#_hem,1
478_DBASSP_AMD_#_hem,1
488_DBASSP_#_#_hem,1
496_DBASSP_#_#_hem,1
497_DBASSP_#_#_hem,1
498_DBASSP_#_#_hem,1
506_DBASSP_AMD_#_hem,1
520_DBASSP_#_#_hem,1
522_DBASSP_#_#_hem,1
524_DBASSP_#_#_hem,1
526_DBASSP_#_#_hem,1
536_DBASSP_#_#_hem,1
565_DBASSP_AMD_#_hem,1
1460_DBASSP_AMD_#_hem,1
573_DBASSP_AMD_#_hem,1
8797_DBASSP_AMD_#_hem,0
606_DBASSP_#_#_hem,1
607_DBASSP_#_#_hem,1
608_DBASSP_#_#_hem,1
8801_DBASSP_AMD_#_hem,0
8802_DBASSP_AMD_#_hem,0
611_DBASSP_#_#_hem,1
8804_DBASSP_AMD_#_hem,0
8805_DBASSP_AMD_#_hem,0
8806_DBASSP_AMD_#_hem,0
8807_DBASSP_AMD_#_hem,0
616_DBASSP_#_#_hem,1
1468_DBASSP_#_#_hem,1
618_DBASSP_#_#_hem,1
619_DBASSP_#_#_hem,1
620_DBASSP_AMD_#_hem,1
8828_DBASSP_AMD_#_hem,0
643_DBASSP_#_#_hem,1
646_DBASSP_#_#_hem,1
663_DBASSP_#_#_hem,1
8863_DBASSP_AMD_Abz_hem,1
8868_DBASSP_AMD_#_hem,1
699_DBASSP_AMD_#_hem,1
700_DBASSP_AMD_#_hem,1
701_DBASSP_AMD_#_hem,1
702_DBASSP_AMD_#_hem,1
704_DBASSP_AMD_#_hem,1
705_DBASSP_AMD_#_hem,1
8900_DBASSP_AMD_#_hem,1
8905_DBASSP_AMD_#_hem,1
8913_DBASSP_AMD_#_hem,1
8917_DBASSP_AMD_#_hem,1
726_DBASSP_#_#_hem,1
732_DBASSP_AMD_#_hem,0
734_DBASSP_#_#_hem,1
4219_DBASSP_#_#_hem,1
8943_DBASSP_#_#_hem,1
8944_DBASSP_#_#_hem,0
8945_DBASSP_#_#_hem,0
8946_DBASSP_#_#_hem,1
8947_DBASSP_#_#_hem,1
759_DBASSP_#_#_hem,1
760_DBASSP_AMD_#_hem,1
762_DBASSP_AMD_#_hem,0
763_DBASSP_AMD_#_hem,1
764_DBASSP_#_#_hem,1
8957_DBASSP_#_#_hem,1
774_DBASSP_#_#_hem,1
776_DBASSP_#_#_hem,1
777_DBASSP_#_#_hem,1
778_DBASSP_#_#_hem,1
779_DBASSP_AMD_#_hem,0
8981_DBASSP_#_#_hem,1
8982_DBASSP_#_#_hem,1
8983_DBASSP_#_#_hem,1
8984_DBASSP_#_#_hem,1
8995_DBASSP_AMD_#_hem,1
8997_DBASSP_AMD_#_hem,0
806_DBASSP_AMD_#_hem,1
9004_DBASSP_AMD_#_hem,1
9007_DBASSP_AMD_#_hem,1
9008_DBASSP_AMD_#_hem,1
9009_DBASSP_AMD_#_hem,1
9010_DBASSP_AMD_#_hem,1
904_DBASSP_AMD_#_hem,0
905_DBASSP_AMD_ACT_hem,0
906_DBASSP_AMD_TOS_hem,0
907_DBASSP_AMD_BZO_hem,0
908_DBASSP_AMD_BZY_hem,0
909_DBASSP_AMD_C16_hem,0
911_DBASSP_AMD_#_hem,1
912_DBASSP_AMD_#_hem,1
913_DBASSP_AMD_#_hem,1
914_DBASSP_AMD_#_hem,1
915_DBASSP_AMD_#_hem,1
4425_DBASSP_AMD_#_hem,1
932_DBASSP_AMD_#_hem,1
933_DBASSP_AMD_#_hem,0
943_DBASSP_AMD_#_hem,1
944_DBASSP_AMD_#_hem,1
948_DBASSP_#_#_hem,1
952_DBASSP_#_#_hem,1
964_DBASSP_#_#_hem,1
9157_DBASSP_AMD_#_hem,1
966_DBASSP_#_#_hem,1
968_DBASSP_#_#_hem,1
969_DBASSP_#_#_hem,1
970_DBASSP_#_#_hem,1
971_DBASSP_#_#_hem,1
972_DBASSP_AMD_#_hem,1
973_DBASSP_AMD_#_hem,1
9175_DBASSP_AMD_#_hem,0
991_DBASSP_#_#_hem,1
995_DBASSP_AMD_#_hem,1
998_DBASSP_AMD_#_hem,1
999_DBASSP_AMD_#_hem,1
1000_DBASSP_#_#_hem,1
1001_DBASSP_AMD_#_hem,1
1002_DBASSP_#_#_hem,1
1005_DBASSP_AMD_#_hem,1
1006_DBASSP_#_#_hem,1
1008_DBASSP_#_#_hem,1
1026_DBASSP_AMD_#_hem,1
1030_DBASSP_AMD_#_hem,1
1031_DBASSP_AMD_ACT_hem,1
1069_DBASSP_#_#_hem,1
1544_DBASSP_#_#_hem,1
1074_DBASSP_#_#_hem,1
1077_DBASSP_#_#_hem,1
1078_DBASSP_#_#_hem,1
9737_DBASSP_#_#_hem,1
1104_DBASSP_#_#_hem,1
1105_DBASSP_#_#_hem,1
1106_DBASSP_AMD_#_hem,1
1127_DBASSP_AMD_#_hem,1
1129_DBASSP_AMD_#_hem,1
9329_DBASSP_#_#_hem,1
9343_DBASSP_AMD_#_hem,0
9362_DBASSP_AMD_#_hem,1
9370_DBASSP_#_#_hem,1
9371_DBASSP_AMD_#_hem,1
9372_DBASSP_EN_#_hem,1
9373_DBASSP_#_ACT_hem,1
9374_DBASSP_AMD_ACT_hem,1
8389_DBASSP_#_#_hem,0
9376_DBASSP_#_SUC_hem,1
9377_DBASSP_AMD_SUC_hem,1
9378_DBASSP_EN_SUC_hem,1
1187_DBASSP_#_#_hem,1
9380_DBASSP_#_#_hem,1
8390_DBASSP_#_#_hem,1
9386_DBASSP_#_#_hem,1
1195_DBASSP_AMD_#_hem,0
1204_DBASSP_AMD_#_hem,1
8394_DBASSP_#_#_hem,0
9406_DBASSP_AMD_ACT_hem,1
9407_DBASSP_AMD_#_hem,1
1238_DBASSP_#_#_hem,0
1241_DBASSP_AMD_#_hem,1
1269_DBASSP_#_#_hem,1
9466_DBASSP_AMD_#_hem,1
9468_DBASSP_AMD_#_hem,1
9469_DBASSP_AMD_#_hem,1
9494_DBASSP_#_#_hem,1
1352_DBASSP_AMD_#_hem,1
11229_DBASSP_AMD_#_hem,0
1682_DBASSP_AMD_#_hem,1
9571_DBASSP_AMD_#_hem,0
1404_DBASSP_AMD_#_hem,1
1409_DBASSP_AMD_#_hem,1
1410_DBASSP_AMD_#_hem,1
1412_DBASSP_AMD_#_hem,1
1413_DBASSP_AMD_#_hem,1
1420_DBASSP_AMD_#_hem,1
1428_DBASSP_AMD_#_hem,1
1434_DBASSP_AMD_#_hem,1
1435_DBASSP_#_#_hem,1
1440_DBASSP_AMD_ACT_hem,1
1465_DBASSP_AMD_#_hem,1
1469_DBASSP_#_#_hem,1
1470_DBASSP_#_#_hem,1
1472_DBASSP_#_#_hem,1
1479_DBASSP_#_#_hem,1
1480_DBASSP_#_#_hem,1
9675_DBASSP_#_#_hem,1
9676_DBASSP_#_#_hem,1
9677_DBASSP_#_#_hem,1
9678_DBASSP_#_#_hem,0
9679_DBASSP_#_#_hem,1
9680_DBASSP_#_#_hem,1
1493_DBASSP_#_#_hem,1
1495_DBASSP_#_#_hem,1
1506_DBASSP_#_#_hem,1
1522_DBASSP_#_#_hem,1
1523_DBASSP_#_#_hem,1
1525_DBASSP_#_#_hem,1
10212_DBASSP_#_#_hem,1
1542_DBASSP_#_#_hem,1
1543_DBASSP_#_#_hem,1
9736_DBASSP_#_#_hem,1
9744_DBASSP_#_#_hem,1
9753_DBASSP_AMD_#_hem,0
1585_DBASSP_AMD_#_hem,1
4363_DBASSP_AMD_#_hem,1
9818_DBASSP_#_#_hem,1
9819_DBASSP_#_#_hem,1
9820_DBASSP_#_#_hem,0
9821_DBASSP_#_#_hem,1
9858_DBASSP_#_C14_hem,0
1672_DBASSP_#_#_hem,1
9865_DBASSP_#_#_hem,1
9868_DBASSP_AMD_#_hem,1
9869_DBASSP_AMD_#_hem,1
9879_DBASSP_AMD_#_hem,1
9880_DBASSP_AMD_#_hem,1
9882_DBASSP_AMD_#_hem,1
9883_DBASSP_AMD_#_hem,1
9891_DBASSP_AMD_#_hem,1
9922_DBASSP_#_#_hem,0
9923_DBASSP_AMD_#_hem,0
9924_DBASSP_#_#_hem,0
1740_DBASSP_#_#_hem,1
1748_DBASSP_AMD_#_hem,1
1756_DBASSP_AMD_#_hem,0
1760_DBASSP_AMD_#_hem,0
1770_DBASSP_#_#_hem,1
1771_DBASSP_#_#_hem,1
9965_DBASSP_AMD_#_hem,1
1775_DBASSP_#_#_hem,1
1777_DBASSP_#_#_hem,1
1778_DBASSP_#_#_hem,1
1784_DBASSP_AMD_ACT_hem,1
1790_DBASSP_AMD_#_hem,1
1791_DBASSP_AMD_#_hem,1
1792_DBASSP_AMD_#_hem,1
9986_DBASSP_AMD_#_hem,1
1804_DBASSP_#_#_hem,1
1805_DBASSP_#_#_hem,1
10001_DBASSP_AMD_C8_hem,0
10003_DBASSP_AMD_C12_hem,0
10004_DBASSP_AMD_C14_hem,0
10005_DBASSP_AMD_C16_hem,0
10006_DBASSP_AMD_4-OMe-C10_hem,0
10007_DBASSP_AMD_C11_hem,0
10008_DBASSP_AMD_17-ME-C18_hem,0
10009_DBASSP_AMD_C17_hem,0
10010_DBASSP_AMD_C20_hem,0
10022_DBASSP_AMD_#_hem,0
10023_DBASSP_AMD_#_hem,0
9881_DBASSP_AMD_#_hem,1
1881_DBASSP_AMD_#_hem,1
10077_DBASSP_#_#_hem,0
1886_DBASSP_#_#_hem,1
1887_DBASSP_#_#_hem,1
1888_DBASSP_#_#_hem,1
1889_DBASSP_#_#_hem,1
1890_DBASSP_#_#_hem,1
1891_DBASSP_#_#_hem,1
10085_DBASSP_AMD_#_hem,1
10087_DBASSP_AMD_#_hem,1
10088_DBASSP_AMD_#_hem,1
10090_DBASSP_AMD_#_hem,1
10092_DBASSP_AMD_#_hem,1
10093_DBASSP_AMD_#_hem,1
