Protein,Prediction
3451_Hemolytik_Free_Free_0%,0
3468_Hemolytik_Free_Free_~5%,0
3474_Hemolytik_Amidation_Free_Low,1
3475_Hemolytik_Amidation_Free_No,1
3495_Hemolytik_Free_Free_Weak,0
3532_Hemolytik_Free_Free_0%,0
3533_Hemolytik_Free_Free_0%,0
3541_Hemolytik_Free_Free_0%,0
3542_Hemolytik_Free_Free_0%,0
3567_Hemolytik_Amidation_Free_No,0
3568_Hemolytik_Free_Free_No,0
3576_Hemolytik_Amidation_Free_No,1
3577_Hemolytik_Free_Free_No,0
3578_Hemolytik_Free_Free_No,0
3579_Hemolytik_Free_Free_No,0
3580_Hemolytik_Free_Free_No,1
3612_Hemolytik_Free_Free_No,0
3620_Hemolytik_Free_Free_0%,1
3632_Hemolytik_Free_Free_No,1
3633_Hemolytik_Free_Free_No,1
3638_Hemolytik_Free_Free_Little,1
3639_Hemolytik_Free_Free_Little,1
3640_Hemolytik_Free_Free_Little,1
3641_Hemolytik_Free_Free_Little,1
3642_Hemolytik_Free_Free_Little,1
3678_Hemolytik_[NH(CH2)2NH2]2_Free_No,0
3679_Hemolytik_Free_Free_No,0
3680_Hemolytik_[NH(CH2)2NH2]2_Free_No,0
3681_Hemolytik_Free_Free_No,0
3682_Hemolytik_[NH(CH2)2NH2]2_Free_No,0
3706_Hemolytik_Free_Free_Little,0
3767_Hemolytik_Amidation_Free_0%,1
3780_Hemolytik_Free_Free_0%,0
3781_Hemolytik_Free_Free_0%,0
3790_Hemolytik_Amidation_Free_No,0
3796_Hemolytik_Amidation_Free_No,0
1022_Hemolytik_Free_Conjugated,0
1023_Hemolytik_Free_Conjugated,0
1024_Hemolytik_Amidation_Conjugated,1
1039_Hemolytik_Amidation_Free_0%,1
1040_Hemolytik_Amidation_Free_0%,1
1041_Hemolytik_Amidation_Free_0%,1
1046_Hemolytik_Amidation_Free_60.8%,1
1048_Hemolytik_Amidation_Free_50.40%,1
1067_Hemolytik_Free_Free_0.01%,0
1068_Hemolytik_Free_Free_0.01%,0
1072_Hemolytik_Free_Free_1.92%,0
1073_Hemolytik_Free_Free_3.40%,0
1074_Hemolytik_Free_Free_2.36%,0
1091_Hemolytik_Amidation_Free_>10%,0
1092_Hemolytik_Amidation_Free_>10%,0
1093_Hemolytik_Amidation_Free_>10%,0
1094_Hemolytik_Amidation_Free_>10%,0
1095_Hemolytik_Amidation_Free_>10%,0
1096_Hemolytik_Amidation_Free_>10%,0
1097_Hemolytik_Amidation_Free_>10%,0
1098_Hemolytik_Amidation_Free_>10%,0
1099_Hemolytik_Amidation_Free_>10%,0
1120_Hemolytik_Amidation_Free_>20%,1
1121_Hemolytik_Amidation_Free_~20%,1
1122_Hemolytik_Amidation_Free_~9%,1
1123_Hemolytik_Amidation_Free_~8%,1
1124_Hemolytik_Free_Free_~30%,1
1134_Hemolytik_Free_Free_<5%,0
1135_Hemolytik_Free_Free_<5%,0
1136_Hemolytik_Free_Free_<5%,0
1156_Hemolytik_Free_Free_<1%,0
1157_Hemolytik_Free_Free_1.5-2.3%,0
1158_Hemolytik_Free_Free_<1%,0
1159_Hemolytik_Free_Free_1.5-2.3%,0
1160_Hemolytik_Free_Free_<1%,0
1161_Hemolytik_Free_Free_<1%,0
1167_Hemolytik_Free_Free_0-3%,0
1168_Hemolytik_Free_Free_0-3%,0
1170_Hemolytik_Free_Free_12-25%,1
1173_Hemolytik_Free_Free_3-6%,0
1174_Hemolytik_Free_Free_0-3%,0
1176_Hemolytik_Free_Free_3-6%,0
1177_Hemolytik_Free_Free_0-3%,0
1178_Hemolytik_Free_Free_0-3%,0
1179_Hemolytik_Free_Free_0-3%,0
1180_Hemolytik_Free_Free_3-6%,0
1181_Hemolytik_Free_Free_3-6%,1
1182_Hemolytik_Free_Free_3-6%,0
1183_Hemolytik_Free_Free_0-3%,0
1184_Hemolytik_Free_Free_0-3%,0
1185_Hemolytik_Free_Free_0-3%,0
1186_Hemolytik_Free_Free_0-3%,0
1187_Hemolytik_Free_Free_0-3%,0
1188_Hemolytik_Free_Free_6-12%,0
1189_Hemolytik_Free_Free_0-3%,0
1190_Hemolytik_Free_Free_0-3%,0
1191_Hemolytik_Free_Free_3-6%,0
1192_Hemolytik_Free_Free_12-25%,0
1193_Hemolytik_Free_Free_3-6%,0
1194_Hemolytik_Free_Free_12-25%,0
1195_Hemolytik_Free_Free_25-50%,1
1196_Hemolytik_Free_Free_12-25%,1
1197_Hemolytik_Free_Free_25-50%,1
1202_Hemolytik_Free_Free_3-6%,0
1204_Hemolytik_Free_Free_12-25%,1
1205_Hemolytik_Free_Free_25-50%,1
1210_Hemolytik_Free_Free_0-3%,0
1211_Hemolytik_Free_Free_12-25%,0
1212_Hemolytik_Free_Free_0-3%,0
1213_Hemolytik_Free_Free_12-25%,1
1214_Hemolytik_Free_Free_6-12%,0
1215_Hemolytik_Free_Free_0-3%,0
1216_Hemolytik_Free_Free_6-12%,0
1218_Hemolytik_Free_Free_0-3%,0
1219_Hemolytik_Free_Free_0-3%,0
1220_Hemolytik_Free_Free_25-50%,1
1221_Hemolytik_Free_Free_0%,0
1222_Hemolytik_Free_Free_>2-3%,0
1223_Hemolytik_Free_Free_>2-3%,0
1224_Hemolytik_Free_Free_0%,0
1225_Hemolytik_Free_Free_>2-3%,1
1243_Hemolytik_Amidation_Free_77%,0
1244_Hemolytik_Amidation_Free_29%,0
1245_Hemolytik_Amidation_Free_0%,0
1252_Hemolytik_Amidation_Free_45%,1
1253_Hemolytik_Amidation_Free_9%,1
1254_Hemolytik_Amidation_Free_0%,1
1255_Hemolytik_Amidation_Free_25%,1
1256_Hemolytik_Amidation_Free_4%,1
1257_Hemolytik_Amidation_Free_0%,1
1258_Hemolytik_Amidation_Acetylation_45%,1
1259_Hemolytik_Amidation_Acetylation_21%,1
1261_Hemolytik_Amidation_Acetylation_4%,0
1262_Hemolytik_Amidation_Acetylation_9%,0
1263_Hemolytik_Amidation_Acetylation_3%,0
1264_Hemolytik_Amidation_Acetylation_8%,0
1273_Hemolytik_Free_Free_~2%,1
1280_Hemolytik_Amidation_Free_>40%,0
1281_Hemolytik_Amidation_Free_~80%,1
1282_Hemolytik_Amidation_Free_<10%,1
1296_Hemolytik_Free_Free_0.02,1
1297_Hemolytik_Free_Free_0.05,1
1298_Hemolytik_Free_Free_0.07,1
1299_Hemolytik_Free_Free_0.02,1
1300_Hemolytik_Free_Free_0.09,1
1301_Hemolytik_Free_Free_0.27,1
1302_Hemolytik_Free_Free_0.01,1
1303_Hemolytik_Free_Free_0.0,1
1304_Hemolytik_Free_Free_0.05,1
1305_Hemolytik_Free_Free_0.01,1
1306_Hemolytik_Free_Free_0.19,1
1307_Hemolytik_Free_Free_0.4,1
1308_Hemolytik_Free_Free_0.01,1
1309_Hemolytik_Free_Free_0.02,1
1310_Hemolytik_Free_Free_0.19,1
1311_Hemolytik_Free_Free_0.01,1
1312_Hemolytik_Free_Free_0.15,1
1314_Hemolytik_Free_Free_0.01,1
1315_Hemolytik_Free_Free_0.02,1
1316_Hemolytik_Free_Free_0.08,1
1318_Hemolytik_Free_Free_0.2,1
1320_Hemolytik_Free_Free_0.0,1
1321_Hemolytik_Free_Free_0.03,1
1322_Hemolytik_Free_Free_0.08,1
1323_Hemolytik_Free_Free_0.01,1
1324_Hemolytik_Free_Free_0.1,1
1325_Hemolytik_Free_Free_0.14,1
1326_Hemolytik_Free_Free_0.02,1
1327_Hemolytik_Free_Free_0.05,1
1328_Hemolytik_Free_Free_0.06,1
1329_Hemolytik_Free_Free_0.05,1
1330_Hemolytik_Free_Free_0.12,1
1331_Hemolytik_Free_Free_0.18,1
1332_Hemolytik_Free_Free_0.0,1
1334_Hemolytik_Free_Free_0.05,1
1335_Hemolytik_Free_Free_0.01,1
1336_Hemolytik_Free_Free_0.18,1
1337_Hemolytik_Free_Free_0.3,1
1338_Hemolytik_Free_Free_0.02,1
1339_Hemolytik_Free_Free_0.02,1
1340_Hemolytik_Free_Free_0.07,1
1341_Hemolytik_Free_Free_0.02,1
1342_Hemolytik_Free_Free_0.15,1
1343_Hemolytik_Free_Free_0.45,1
1344_Hemolytik_Free_Free_0.0,1
1345_Hemolytik_Free_Free_0.0,1
1346_Hemolytik_Free_Free_0.05,1
1347_Hemolytik_Free_Free_0.01,1
1348_Hemolytik_Free_Free_0.07,1
1349_Hemolytik_Free_Free_0.14,1
1350_Hemolytik_Free_Free_0.02,1
1351_Hemolytik_Free_Free_0.03,1
1352_Hemolytik_Free_Free_0.1,1
1353_Hemolytik_Free_Free_0.02,1
1354_Hemolytik_Free_Free_0.1,1
1355_Hemolytik_Free_Free_0.26,1
1367_Hemolytik_Free_Free_40%,1
1369_Hemolytik_Amidation_Free_0%,0
1370_Hemolytik_Amidation_Free_4.84%,0
1371_Hemolytik_Amidation_Free_4.90%,0
1372_Hemolytik_Amidation_Free_4.73%,0
1373_Hemolytik_Amidation_Free_5.07%,0
1374_Hemolytik_Amidation_Free_5.13%hemolysis,0
1375_Hemolytik_Amidation_Free_5.07%,0
1376_Hemolytik_Amidation_Free_4.90%,0
1377_Hemolytik_Amidation_Free_5.13%,0
1378_Hemolytik_Amidation_Free_4.90%,0
1379_Hemolytik_Amidation_Free_5.19%,0
1380_Hemolytik_Amidation_Free_5.01%,0
1381_Hemolytik_Amidation_Free_4.90%,0
1382_Hemolytik_Amidation_Free_5.19%,0
1383_Hemolytik_Amidation_Free_4.96%,0
1384_Hemolytik_Amidation_Free_4.73%,0
1385_Hemolytik_Amidation_Free_4.84%,0
1386_Hemolytik_Amidation_Free_4.96%,0
1387_Hemolytik_Amidation_Free_4.78%,0
1388_Hemolytik_Amidation_Free_4.61%,1
1389_Hemolytik_Amidation_Free_6.05%,1
1390_Hemolytik_Amidation_Free_4.73%,1
1391_Hemolytik_Amidation_Free_4.44%,1
1392_Hemolytik_Amidation_Free_4.78%,1
1393_Hemolytik_Amidation_Free_4.61%,1
1394_Hemolytik_Amidation_Free_5.01%,1
1395_Hemolytik_Amidation_Free_4.84%,1
1396_Hemolytik_Amidation_Free_4.84%,1
1397_Hemolytik_Amidation_Free_5.01%,1
1398_Hemolytik_Amidation_Free_4.44%,1
1399_Hemolytik_Amidation_Free_4.78%,1
1400_Hemolytik_Amidation_Free_5.42%,1
1401_Hemolytik_Amidation_Free_5.99%,1
1402_Hemolytik_Amidation_Free_5.13%,1
1403_Hemolytik_Amidation_Free_5.13%,1
1404_Hemolytik_Amidation_Free_4.73%,1
1405_Hemolytik_Amidation_Free_5.47%,1
1406_Hemolytik_Amidation_Free_7.09%,1
1407_Hemolytik_Amidation_Free_5.36%,1
1408_Hemolytik_Amidation_Free_4.73%,1
1409_Hemolytik_Amidation_Free_4.84%,1
1410_Hemolytik_Amidation_Free_5.19%,1
1411_Hemolytik_Amidation_Free_4.84%,1
1412_Hemolytik_Amidation_Free_7.26%,1
1413_Hemolytik_Amidation_Free_5.76%,1
1414_Hemolytik_Amidation_Free_4.72%,1
1415_Hemolytik_Amidation_Free_5.07%,1
1416_Hemolytik_Amidation_Free_4.78%,1
1417_Hemolytik_Amidation_Free_5.30%,1
1419_Hemolytik_Amidation_Free_14.92%,1
1420_Hemolytik_Amidation_Free_7.38%,1
1421_Hemolytik_Amidation_Free_5.01%,1
1422_Hemolytik_Amidation_Free_4.96%,1
1423_Hemolytik_Amidation_Free_4.73%,1
1425_Hemolytik_Amidation_Free_34.29%,1
1426_Hemolytik_Amidation_Free_17.58%,1
1427_Hemolytik_Amidation_Free_14.99%,1
1428_Hemolytik_Amidation_Free_6.51%,1
1429_Hemolytik_Amidation_Free_5.13%,1
1430_Hemolytik_Amidation_Free_47.72%,1
1431_Hemolytik_Amidation_Free_20.86%,1
1432_Hemolytik_Amidation_Free_12.80%,1
1433_Hemolytik_Amidation_Free_10.78%,1
1434_Hemolytik_Amidation_Free_5.31%,1
1435_Hemolytik_Amidation_Free_5.07%,1
1436_Hemolytik_Amidation_Free_36.37%,1
1437_Hemolytik_Amidation_Free_10.90%,1
1438_Hemolytik_Amidation_Free_7.61%,1
1439_Hemolytik_Amidation_Free_5.24%,1
1440_Hemolytik_Amidation_Free_5.24%,1
1441_Hemolytik_Amidation_Free_4.44%,1
1451_Hemolytik_Amidation_Free_41.8%,1
1452_Hemolytik_Amidation_Free_21.4%,1
1453_Hemolytik_Amidation_Free_10%,0
1454_Hemolytik_Amidation_Free_3.3%,0
1458_Hemolytik_Free_Free_100%,1
1459_Hemolytik_Free_Free_0%,1
1460_Hemolytik_Amidation_Free_28%,1
1461_Hemolytik_Amidation_Free_42%,1
1470_Hemolytik_Amidation_Free_100%,1
1471_Hemolytik_Amidation_Free_73%,1
1472_Hemolytik_Amidation_Free_88%,1
1473_Hemolytik_Amidation_Free_63%,1
1474_Hemolytik_Amidation_Free_6%,1
1475_Hemolytik_Amidation_Free_13%,1
1476_Hemolytik_Amidation_Free_100%,1
1477_Hemolytik_Amidation_Free_6%,0
1478_Hemolytik_Amidation_Free_4%,0
1479_Hemolytik_Amidation_Free_8%,1
1480_Hemolytik_Amidation_Free_8%,0
1481_Hemolytik_Amidation_Free_18%,1
1482_Hemolytik_Amidation_Free_60%,1
1483_Hemolytik_Amidation_Free_0%,0
1484_Hemolytik_Amidation_Free_3%,1
1485_Hemolytik_Amidation_Free_12%,1
1486_Hemolytik_Amidation_Free_3%,0
1487_Hemolytik_Amidation_Free_7%,0
1488_Hemolytik_Amidation_Free_11%,0
1489_Hemolytik_Amidation_Free_8%,0
1490_Hemolytik_Amidation_Free_36%,1
1491_Hemolytik_Amidation_Free_11%,1
1492_Hemolytik_Amidation_Free_9%,0
1493_Hemolytik_Amidation_Free_7%,0
1538_Hemolytik_Free_Free_25%,0
1539_Hemolytik_Free_Free_13%,0
1561_Hemolytik_Free_Free_15.88%,1
1563_Hemolytik_Free_Free_11.63%,1
1568_Hemolytik_Amidation_Free_50%,1
1569_Hemolytik_Amidation_Free_>50%,1
1570_Hemolytik_Amidation_Free_<10%,0
1571_Hemolytik_Amidation_Free_~10%,0
1574_Hemolytik_Amidation_Free_50%,1
1575_Hemolytik_Amidation_Free_50%,1
1578_Hemolytik_Free_Free_>25%,1
1579_Hemolytik_Free_Free_>30%,1
1580_Hemolytik_Free_Free_30%,1
1581_Hemolytik_Free_Free_40%,1
1582_Hemolytik_Free_Free_>30%,1
1583_Hemolytik_Free_Free_>35%,1
1589_Hemolytik_Free_Free_46%,1
1590_Hemolytik_Free_Free_30%,1
1591_Hemolytik_Free_Free_86%,1
1592_Hemolytik_Free_Free_69%,1
1593_Hemolytik_Free_Free_98%,1
1594_Hemolytik_Free_Free_83%,1
1598_Hemolytik_Amidation_Free_>40%,1
1600_Hemolytik_Free_Free_0.01%,0
1601_Hemolytik_Free_Free_0.19%,0
1602_Hemolytik_Free_Free_25.8%,1
1603_Hemolytik_Free_Free_0.02%,0
1604_Hemolytik_Free_Free_0.06%,0
1605_Hemolytik_Free_Free_0.32%,0
1607_Hemolytik_Free_Free_0.08%,0
1608_Hemolytik_Amidation_Free_100%,0
1609_Hemolytik_Amidation_Free_100%,0
1610_Hemolytik_Amidation_Free_100%,1
1611_Hemolytik_Amidation_Free_100%,0
1612_Hemolytik_Amidation_Free_~10%,0
1619_Hemolytik_Amidation_Free_40%,1
1620_Hemolytik_Amidation_Free_40%,1
1621_Hemolytik_Free_Free_>80%,1
1622_Hemolytik_Free_Free_20%,0
1623_Hemolytik_Free_Free_40%,0
1624_Hemolytik_Free_Free_~40%,0
1625_Hemolytik_Free_Free_>80%,1
1630_Hemolytik_Free_Free_~100%,1
1632_Hemolytik_Free_Free_<25%,0
1633_Hemolytik_Amidation_Free_20%,1
1634_Hemolytik_Amidation_Free_15%,1
1635_Hemolytik_Amidation_Free_100%,1
1636_Hemolytik_Amidation_Free_40%,1
1639_Hemolytik_Amidation_Acetylation_62%,1
1640_Hemolytik_Amidation_Acetylation_18%,0
1641_Hemolytik_Amidation_Acetylation_46%,0
1642_Hemolytik_Amidation_Acetylation_48%,0
1643_Hemolytik_Amidation_Free_20.0±1.8%,0
1644_Hemolytik_Amidation_Free_11.2±1.5%,0
1645_Hemolytik_Amidation_Free_18.1±0.3%,0
1646_Hemolytik_Amidation_Free_20.9±1.8%,1
1647_Hemolytik_Amidation_Free_29.0±4.9%,1
1648_Hemolytik_Amidation_Free_>50%,1
1653_Hemolytik_Amidation_Free_<50%,1
1668_Hemolytik_Free_Free_50%,0
1670_Hemolytik_Free_Free_50%,0
1675_Hemolytik_Free_Free_10%,1
1684_Hemolytik_Free_Free_11±4.6%,0
1689_Hemolytik_Free_Free_1±0.1%,0
1690_Hemolytik_Free_Free_5±0.1%,0
1691_Hemolytik_Free_Free_20%hemolysis,0
1697_Hemolytik_Amidation_Free_~80%,1
1698_Hemolytik_Amidation_Free_11%hemolysis,0
1699_Hemolytik_Amidation_Free_65%,1
1700_Hemolytik_Amidation_Free_~40%,1
1701_Hemolytik_Amidation_Free_~63%hemolysis,1
1702_Hemolytik_Amidation_Free_0-5%,0
1703_Hemolytik_Amidation_Free_75%,1
1704_Hemolytik_Amidation_Free_11%hemolysis,0
1705_Hemolytik_Amidation_Free_65%,1
1706_Hemolytik_Amidation_Free_21%hemolysis,1
1707_Hemolytik_Amidation_Free_~63%hemolysis,1
1708_Hemolytik_Amidation_Free_4%,0
1709_Hemolytik_Free_Free_>40%,1
1721_Hemolytik_Amidation_Acetylation_<0.3%,0
1722_Hemolytik_Free_Free_115.7±2.5%,1
1723_Hemolytik_Free_Free_30.2±2.8%,1
1728_Hemolytik_Amidation_Free_24%,1
1729_Hemolytik_Amidation_Free_23%,1
1730_Hemolytik_Amidation_Free_36%,1
1732_Hemolytik_Amidation_Free_18%,1
1814_Hemolytik_Free_Free_10%,1
1822_Hemolytik_Free_Free_4.5%,0
1823_Hemolytik_Free_Free_11.62%,0
1824_Hemolytik_Free_Free_14.92%,0
1825_Hemolytik_Free_Free_9.65%,0
1826_Hemolytik_Free_Free_4.70%,0
1827_Hemolytik_Free_Free_94.69%,1
1828_Hemolytik_Free_Free_23.11%,1
1829_Hemolytik_Amidation_Free_3±1%,1
1830_Hemolytik_Amidation_Benzoylation_34±9.2%,1
1831_Hemolytik_Amidation_Free_51±4.8%,1
1832_Hemolytik_Amidation_Free_9±2.2%,1
1833_Hemolytik_Amidation_Acetylation_6±0.6%,1
1834_Hemolytik_Amidation_Tosylation_40±4.0%,1
1835_Hemolytik_Amidation_Free_10±1.3%,1
1836_Hemolytik_Amidation_Free_3±0.1%,1
1837_Hemolytik_Amidation_Tosylation_40±3.5%,1
1838_Hemolytik_Amidation_Benzoylation_42±4.7%,1
1839_Hemolytik_Amidation_Free_14±1.6%,1
1840_Hemolytik_Amidation_Tosylation_22±1.3%,1
1841_Hemolytik_Amidation_Tosylation_2±0.7%,1
1842_Hemolytik_Amidation_Benzoylation_2±0.4%,1
1843_Hemolytik_Amidation_Free_34±2.1%,1
1847_Hemolytik_Amidation_Acetylation_40±3.8%,1
1850_Hemolytik_Amidation_Free_22±2.8%,1
